,Movie Name,Year_of_Release,Runtime,Rating,Meta Score,Vote
0,The Shawshank Redemption,1994,142,9.3,80        ,"2,395,848"
1,The Godfather,1994,142,9.3,80        ,"2,395,848"
2,Soorarai Pottru,1994,142,9.3,80        ,"1,659,562"
3,The Dark Knight,1994,142,9.3,80        ,"79,410"
4,The Godfather: Part II,1994,142,9.3,80        ,"2,357,459"
5,12 Angry Men,1972,175,9.2,100        ,"1,153,618"
6,The Lord of the Rings: The Return of the King,2020,153,9.1,^^^^^,"706,532"
7,Pulp Fiction,2008,152,9.0,84        ,"1,673,368"
8,Schindler's List,1974,202,9.0,90        ,"1,863,472"
9,Inception,1957,96,9.0,96        ,"1,236,925"
10,Fight Club,2003,201,8.9,94        ,"2,115,428"
11,The Lord of the Rings: The Fellowship of the Ring,1994,154,8.9,94        ,"1,893,334"
12,Forrest Gump,1993,195,8.9,94        ,"1,694,116"
13,"Il buono, il brutto, il cattivo",2010,148,8.8,74        ,"1,852,598"
14,The Lord of the Rings: The Two Towers,1999,139,8.8,66        ,"700,680"
15,The Matrix,2001,178,8.8,92        ,"1,513,229"
16,Goodfellas,1994,142,8.8,82        ,"1,711,520"
17,Star Wars: Episode V - The Empire Strikes Back,1966,161,8.8,90        ,"1,043,165"
18,One Flew Over the Cuckoo's Nest,2002,179,8.7,87        ,"1,179,423"
19,Gisaengchung,1999,136,8.7,73        ,"933,717"
20,Interstellar,1990,146,8.7,90        ,"609,936"
21,Cidade de Deus,1980,124,8.7,82        ,"1,560,048"
22,Sen to Chihiro no kamikakushi,1975,133,8.7,84        ,"709,564"
23,Saving Private Ryan,2019,132,8.6,96        ,"671,211"
24,The Green Mile,2014,169,8.6,74        ,"1,263,144"
25,La vita è bella,2002,130,8.6,79        ,"1,174,186"
26,Se7en,2001,125,8.6,96        ,"637,078"
27,The Silence of the Lambs,1998,169,8.6,91        ,"1,477,922"
28,Star Wars,1999,189,8.6,61        ,"1,299,218"
29,Seppuku,1997,116,8.6,59        ,"1,251,509"
30,Shichinin no samurai,1995,127,8.6,65        ,"45,082"
31,It's a Wonderful Life,1991,118,8.6,85        ,"321,453"
32,Hamilton,1977,121,8.6,90        ,"412,611"
33,Ratsasan,1962,133,8.6,85        ,"64,661"
34,Whiplash,1954,207,8.6,98        ,"29,861"
35,The Intouchables,1946,130,8.6,89        ,"739,334"
36,The Prestige,2020,160,8.5,90        ,"778,836"
37,The Departed,2018,170,8.5,^^^^^,"1,216,358"
38,The Pianist,2014,106,8.5,88        ,"1,213,608"
39,Gladiator,2011,112,8.5,57        ,"749,214"
40,American History X,2006,130,8.5,66        ,"1,366,953"
41,The Usual Suspects,2006,151,8.5,85        ,"1,049,717"
42,Léon,2002,150,8.5,85        ,"1,007,995"
43,The Lion King,2000,155,8.5,67        ,"1,056,737"
44,Terminator 2: Judgment Day,1998,119,8.5,62        ,"961,836"
